time_s,n2o_tank_pressure_bar,n2o_tank_temperature_k,n2o_tank_liquid_mass_kg,n2o_tank_vapour_mass_kg,n2o_tank_pressurant_gas_mass_kg,n2o_tank_total_mass_kg,n2o_tank_total_internal_energy_kj,ethanol_tank_pressure_bar,ethanol_tank_temperature_k,ethanol_tank_liquid_mass_kg,ethanol_tank_vapour_mass_kg,ethanol_tank_pressurant_gas_mass_kg,ethanol_tank_total_mass_kg,ethanol_tank_total_internal_energy_kj,n2_tank_pressure_bar,n2_tank_temperature_k,n2_tank_liquid_mass_kg,n2_tank_vapour_mass_kg,n2_tank_pressurant_gas_mass_kg,n2_tank_total_mass_kg,n2_tank_total_internal_energy_kj,n2o_injector_mdot_kg_s,ethanol_injector_mdot_kg_s,ethanol_regulator_mdot_kg_s,engine_chamber_pressure_bar,engine_chamber_temperature_k,engine_thrust_n,engine_isp_s,engine_mixture_ratio,engine_total_mdot_kg_s,engine_cstar_ideal_m_s,engine_cstar_delivered_m_s,engine_cf_ideal,engine_cf_delivered
0.020000,59.898660,300.785175,5.633057,0.196219,,5.829276,1360.464806,49.999296,293.148000,2.993408,0.000000,0.071015,3.064423,-454.656183,298.886175,292.849304,0.000000,0.301959,0.301959,0.301959,49.564394,1.036191,0.329611,0.024011,42.497278,2753.929014,3142.009462,234.584403,3.143679,1.365802,1527.513902,1527.513902,1.506179,1.506179
0.040000,59.815182,300.721606,5.607420,0.204759,,5.812180,1356.396946,49.999594,293.146779,2.989370,0.000000,0.071310,3.060680,-453.970930,298.203508,292.664629,0.000000,0.301663,0.301663,0.301663,49.486742,0.854823,0.201872,0.014756,34.122460,3118.651784,2495.807751,240.846716,4.234482,1.056695,1585.107195,1585.107195,1.490050,1.490050
0.060000,59.719071,300.648325,5.578002,0.214480,,5.792482,1351.714542,49.999356,293.144967,2.983497,0.000000,0.071739,3.055235,-452.974344,297.214466,292.396442,0.000000,0.301235,0.301235,0.301235,49.374094,0.984882,0.293679,0.021424,40.229361,2857.999022,2964.234318,236.412490,3.353596,1.278561,1544.662156,1544.662156,1.501065,1.501065
0.080000,59.632069,300.581904,5.551449,0.223180,,5.774629,1347.475191,49.999475,293.143536,2.978889,0.000000,0.072075,3.050964,-452.192560,296.439593,292.185877,0.000000,0.300898,0.300898,0.300898,49.285725,0.892648,0.230375,0.016828,36.028785,3045.038653,2638.062880,239.538742,3.874767,1.123023,1574.818673,1574.818673,1.491646,1.491646
0.100000,59.538895,300.510682,5.523100,0.232393,,5.755493,1342.935572,49.999416,293.141803,2.973380,0.000000,0.072477,3.045857,-451.257865,295.515948,291.934305,0.000000,0.300496,0.300496,0.300496,49.180253,0.956801,0.275484,0.020104,38.986669,2909.827074,2866.872365,237.233730,3.473159,1.232285,1553.115016,1553.115016,1.498036,1.498036
0.120000,59.450310,300.442880,5.496225,0.241054,,5.737279,1338.619182,49.999475,293.140251,2.968488,0.000000,0.072834,3.041322,-450.428020,294.697371,291.710858,0.000000,0.300139,0.300139,0.300139,49.086657,0.910696,0.244589,0.017861,36.903148,3000.935842,2704.761116,238.736632,3.723381,1.155285,1567.853068,1567.853068,1.493123,1.493123
0.140000,59.358783,300.372738,5.468539,0.249904,,5.718443,1334.159664,49.999416,293.138537,2.963153,0.000000,0.073224,3.036377,-449.523203,293.807184,291.467308,0.000000,0.299750,0.299750,0.299750,48.984740,0.941823,0.266725,0.019470,38.329351,2932.895984,2815.303381,237.542134,3.531066,1.208548,1556.875228,1556.875228,1.496318,1.496318
0.160000,59.269594,300.304302,5.441636,0.258432,,5.700068,1329.813966,49.999475,293.136904,2.958118,0.000000,0.073592,3.031709,-448.669130,292.968616,291.237366,0.000000,0.299382,0.299382,0.299382,48.888608,0.918720,0.251783,0.018385,37.292357,2976.070632,2734.469332,238.220925,3.648862,1.170503,1563.871773,1563.871773,1.493769,1.493769
0.180000,59.179047,300.234734,5.414401,0.266995,,5.681396,1325.402199,49.999416,293.135178,2.952863,0.000000,0.073975,3.026838,-447.778031,292.095837,290.997500,0.000000,0.298998,0.298998,0.298998,48.788423,0.933613,0.262732,0.019181,37.976995,2941.384344,2787.520735,237.596965,3.553481,1.196345,1558.268479,1558.268479,1.495297,1.495297
0.200000,59.089735,300.166030,5.387611,0.275349,,5.662960,1321.050621,49.999416,293.133482,2.947752,0.000000,0.074348,3.022100,-446.911337,291.248783,290.764176,0.000000,0.298625,0.298625,0.298625,48.691064,0.921803,0.255556,0.018661,37.452672,2961.154360,2746.535530,237.878715,3.607052,1.177359,1561.479925,1561.479925,1.493938,1.493938
